team,short_team,opponent,short_opponent
Arsenal,ARS,Arsenal,ARS
Aston Villa,AVL,Aston Villa,AVL
Burnley,BUR,Burnley,BUR
Bournemouth,BOU,Bournemouth,BOU
Brentford,BRE,Brentford,BRE
Brighton,BHA,Brighton,BHA
Chelsea,CHE,Chelsea,CHE
Crystal Palace,CRY,Crystal Palace,CRY
Everton,EVE,Everton,EVE
Fulham,FUL,Fulham,FUL
Leeds,LEE,Leeds,LEE
Liverpool,LIV,Liverpool,LIV
Man City,MCI,Man City,MCI
Man Utd,MUN,Man Utd,MUN
Newcastle,NEW,Newcastle,NEW
Nott'm Forest,NFO,Nott'm Forest,NFO
Sunderland,SUN,Sunderland,SUN
Spurs,TOT,Spurs,TOT
West Ham,WHU,West Ham,WHU
Wolves,WOL,Wolves,WOL
